front,back,source
Billionaires List,"Gates, Ellison, Musk, Bezos, Thiel, Zuckerberg (GEMBTZ)",
Musk Quote,"""AI and robots will replace all jobs. Working will be optional.""",https://x.com/elonmusk/status/1980765809338147193
Gates Quote,"Fallon: ""Will we still need humans?""
Gates: ""Not for most things""",https://www.youtube.com/watch?v=uHY5i9-0tJM&t=482s
Amodei Quote,"""AI could wipe out half of all entry-level white-collar jobs.""",https://www.axios.com/2025/05/28/ai-jobs-white-collar-unemployment-anthropic
Ellison Quote,"""Citizens will be on their best behavior because we're constantly recording and reporting everything that is going on.""",https://www.oracle.com/events/financial-analyst-meeting-2024/
Hassabis Quote,"""It'll be 10 times bigger than the Industrial Revolution, and maybe 10 times faster.""",https://www.theguardian.com/technology/2025/aug/04/demis-hassabis-ai-future-10-times-bigger-than-industrial-revolution-and-10-times-faster
Thiel Quote,"""In the 21st century, the Antichrist is a Luddite who wants to stop all science. It's someone like Greta or Eliezer.""",https://www.washingtonpost.com/technology/2025/10/10/peter-thiel-antichrist-lectures-leaked/
Common Sense Media Poll,"""72% of U.S. teens have used AI companions, and 52% use them regularly.""",https://www.commonsensemedia.org/research/talk-trust-and-trade-offs-how-and-why-teens-use-ai-companions
Meta Louisiana Power,The project's 2.3 GW power demand was reported as enough to power about 1.6 million homes.,https://www.cnbc.com/2025/06/25/meta-massive-data-center-louisiana-cost-jobs-energy-use.html
